student_first_name,student_middle_name,student_last_name,date_of_birth,class,date_joined,primary_guardian_first_name,primary_guardian_middle_name,primary_guardian_last_name,primary_guardian_phone,primary_guardian_email,primary_guardian_address,secondary_guardian_first_name,secondary_guardian_middle_name,secondary_guardian_last_name,secondary_guardian_phone,secondary_guardian_email,secondary_guardian_address
Richard,Gina,Gonzalez,2015-07-25,Primary 4,2023-07-08,Samantha,Ashley,Ray,629.807.3358x366,adaugherty@gmail.com,"5366 Burns Shores Apt. 353, Lake Sharimouth, NE 75589",John,Timothy,Stokes,(791)283-7785x6208,stricklandlisa@hotmail.com,"9072 Craig Ways, North Jessica, NE 24765"
Patricia,Stephen,Coleman,2021-05-16,Primary 5,2025-06-05,Lori,Robert,Ware,616.373.2024x9798,averytina@burns-simmons.com,"947 Clayton Mountains, Josehaven, AK 28749",Sabrina,Jake,Roberts,(150)644-8169x441,davidfreeman@yahoo.com,"69446 Fischer Courts, Jimmyton, RI 79347"
Heather,Kevin,Green,2019-12-31,Primary 3,2024-09-10,Karen,Aaron,Reed,001-367-186-6634,jessicaingram@torres.biz,"4429 Hernandez Island Apt. 386, East Robert, MS 52535",Keith,Christopher,Berry,001-095-215-2154,arthurharvey@yahoo.com,"253 Chavez Causeway, Brooksside, UT 67414"
Sean,David,Flowers,2014-06-02,Primary 3,2022-08-31,Jonathan,Laura,Farmer,149-189-6720,andrewcalderon@smith-glover.com,"52077 Wilson Wells Apt. 444, Reyesport, MA 50700",Erik,Cynthia,Davis,+1-328-168-6182,osingleton@gmail.com,"929 Johnson Orchard, Burgessmouth, AK 74399"
Amanda,Anita,Smith,2015-11-11,KG 2,2020-10-04,Christopher,Christy,Sandoval,001-880-913-8659,elizabethmichael@rowe-miller.org,"29419 Frances Way Suite 936, Carrillohaven, CT 63382",Leslie,Eric,Wilson,030.203.1235x0035,allen09@hotmail.com,"5057 Clarke Knolls Apt. 910, East Josephtown, TX 64320"
Jeffrey,Angela,Valenzuela,2013-10-29,Primary 6,2024-07-03,Bradley,William,Fry,001-138-282-7366x711,ybennett@beck-anderson.info,"59923 Rhonda Parks, Danielfort, IA 70610",Ruben,Jennifer,Fleming,326.894.1084x181,weberjennifer@golden.com,"0530 Montgomery Loaf, South Lindaland, PA 90562"
Jaclyn,Michael,James,2020-02-24,Primary 6,2025-05-22,Christopher,Madison,Mason,+1-322-745-1267x2047,karen97@craig.com,"4340 Ferguson Springs, West Ianburgh, MA 23030",Brandon,Timothy,Briggs,+1-698-791-1819x700,agillespie@hotmail.com,"7210 Madison Meadows, South Frederick, MI 12784"
David,Stephen,Bernard,2020-11-30,Primary 3,2025-01-22,George,Sean,Vasquez,+1-726-981-2132x8927,zacharyglenn@hotmail.com,"53966 Williams Loop, Jamesport, UT 70997",Pamela,Mary,Avery,(186)447-0989,madeline79@thomas.com,"1857 Kenneth Forks, Frankborough, NH 02703"
Kathleen,Anthony,Malone,2015-08-06,Nursery 1,2020-11-06,Nancy,Denise,Jenkins,005.186.5274x274,calhounrichard@russo.com,"Unit 5652 Box 2484, DPO AA 23757",Cynthia,Ashley,Wells,6277800272,durhambrian@hotmail.com,"56299 Toni Canyon, Popeberg, NC 26404"
Jennifer,Jessica,Craig,2013-04-28,Primary 5,2025-04-06,Anna,Jamie,Thompson,001-475-458-6001x5807,johngarner@hotmail.com,"647 Wilkerson Vista, Mcintoshhaven, ME 07418",Geoffrey,Steven,Flynn,102-641-9179,colemanmark@caldwell.biz,"55619 Gutierrez Parkways Apt. 150, Mikaylachester, WA 20159"
