teacher_first_name,teacher_middle_name,teacher_last_name,age,phone_number,work_email,personal_email,qualifications,hire_date,assigned_class,subjects_taught
Christina,Craig,Anderson,31,(336)888-7307x825,chrisreynolds@johnson-lara.com,sheasheila@yahoo.com,Diploma in Education,2019-09-05,Nursery 2,"Creative Arts, Civic Education"
Anita,Jennifer,Hoover,57,469.634.7000,crystalrowe@johnson-reynolds.biz,dallen@reed.info,B.Ed,2016-01-10,Nursery 2,"Physical Education, Creative Arts, ICT"
Shelly,Diana,Hawkins,57,189-474-0263x798,kellykevin@flores.com,ystone@johnson-yang.com,B.Sc. Education,1996-10-16,Nursery 2,"English, Mathematics, Physical Education"
Robert,Patricia,Kelly,31,+1-832-846-9143x4765,juan68@nguyen.com,tuckerelizabeth@little-ramos.com,B.Sc. Education,2022-10-07,Primary 3,Creative Arts
Bailey,James,Williams,33,+1-785-893-4551x4824,flemingronald@ross.com,joshuachavez@yahoo.com,PGDE,2024-01-22,Primary 2,"Physical Education, Social Studies, Science"
Valerie,Michael,White,30,105.762.8634x8192,travis98@walton.com,carlcarney@brown.info,Diploma in Education,2020-04-22,Primary 6,Civic Education
Patrick,Melissa,Kirby,49,021.943.5173x2206,tgomez@harris.biz,nicolelewis@dunn.com,B.Sc. Education,2024-10-30,Primary 2,"Mathematics, ICT"
James,Timothy,Baldwin,59,651.218.4898x87861,ostewart@ramirez.com,jeffrey27@yahoo.com,B.Sc. Education,2003-11-01,KG 2,"Civic Education, English, Social Studies"
Erin,Sandra,Brooks,25,(663)749-4469x0302,jamesvega@medina-banks.com,jasonrichards@hendrix-palmer.com,PGDE,2024-10-28,Primary 2,Social Studies
Kathryn,Jennifer,Bryant,39,871-558-1227,jmcgee@powers.com,john09@adams.com,M.Ed,2011-12-24,Primary 5,"English, Creative Arts, Mathematics"
Antonio,Michael,Murphy,59,(214)476-8948,cynthiameyer@jones.net,sanchezjustin@yahoo.com,B.Sc. Education,2017-10-21,Primary 6,Creative Arts
Blake,Tamara,Fuentes,41,(777)007-9871x8125,kathyross@boyer.com,jennifer59@brown.net,B.Sc. Education,2016-11-05,Primary 4,"Creative Arts, Social Studies"
Elizabeth,Aaron,Sawyer,47,254-292-0583x8284,edixon@thompson.net,tyler48@king.biz,B.Sc. Education,2004-12-03,Nursery 1,"Creative Arts, Physical Education, Social Studies"
Kaylee,Joseph,Anderson,30,585-511-9605,vjones@crawford.info,fwagner@sanchez-anderson.com,B.Ed,2022-05-18,Primary 6,"Civic Education, Physical Education"
Theodore,Krystal,Peck,53,001-251-201-2145x9229,morrischad@peterson.net,sharon35@gmail.com,M.Ed,2006-08-14,Primary 6,English
Erica,Michelle,Martin,39,969-904-4875x60938,cferguson@griffin-romero.info,megan71@huff.com,PGDE,2012-03-08,Primary 4,"Physical Education, Science, ICT"
Michael,Paul,Figueroa,27,001-192-328-1396x50336,xwashington@watson.org,monica28@gmail.com,Diploma in Education,2023-06-24,KG 1,"Science, Mathematics"
William,Robert,Wheeler,26,+1-070-979-3946,benjamin53@mcguire.net,rodriguezjeremy@stone.biz,PGDE,2024-01-22,Nursery 1,Physical Education
Nicholas,Lauren,Branch,44,(575)003-0328x58729,tracyrodriguez@murray.com,hicksdanielle@miranda-reynolds.net,M.Ed,2011-03-03,Primary 4,"ICT, English, Social Studies"
Alicia,Pamela,Hendricks,26,(405)139-0073,zgood@welch.org,wangcarrie@carson-morris.com,B.Sc. Education,2024-08-28,Primary 4,English
